# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.9999999437658671e-01 1.0742230257886685e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.1500000000000000e+02 3.1628228569288375e-02 6.6216913663524737e-02 7.0228775171462254e-18 -4.7675642968659036e-03 3.6395792866152854e-02 -9.9847650292248548e-03 7.6201678692746230e-02 -1.0586119307522740e-18 8.0814894478981834e-18 8.1442292469721287e+03 1 1 5
9.9999999968377229e-01 1.0738346886048520e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.2500000000000000e+02 3.1305265426823312e-02 6.5518604954469456e-02 9.4239481807898455e-17 -4.7199568881331252e-03 3.6025222314955786e-02 -9.8817222835914792e-03 7.5400327238059173e-02 -1.4213139685122064e-17 1.0845262149301988e-16 9.2798770354203880e+03 1 1 6
9.9999999998221722e-01 1.0737424293378135e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3500000000000000e+02 3.1227993516667413e-02 6.5351610038160660e-02 1.1737369438934284e-16 -4.7085594836612536e-03 3.5936553000327366e-02 -9.8570660588053558e-03 7.5208676096963953e-02 -1.7705042466211988e-17 1.3507873685554837e-16 9.7193990728519857e+03 1 1 7
9.9999999999900002e-01 1.0737205407999442e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.4500000000000000e+02 3.1209656946441480e-02 6.5311985696565739e-02 7.1868568136491037e-17 -4.7058504747368316e-03 3.5915507421177641e-02 -9.8512063207205139e-03 7.5163192017284372e-02 -1.0839446281076387e-17 8.2708014417564548e-17 9.8532196785137057e+03 1 1 8
9.8999999999999999e-01 1.5393453000363944e+00 1.0000000000000001e-01 1.0000000000000000e+00 8.9100000000000000e+02 8.6640428690352739e-02 2.4405803421543523e-01 3.0239022946668445e-16 -8.0259432429772640e-03 9.4666371933329774e-02 -2.2591648759760132e-02 2.6664968297519276e-01 -2.7986006478111362e-17 3.3037623594479272e-16 4.1482998740859330e+02 1 2 0
9.9943765867480960e-01 1.2332564727828095e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.1000000000000000e+02 7.9024381135755453e-02 1.8265871926894478e-01 -2.2580336144837473e-16 -1.0218342106420301e-02 8.9242723242175137e-02 -2.3632703049935505e-02 2.0629142231887898e-01 2.9216157536191544e-17 -2.5501951898456058e-16 1.6250284649487585e+03 1 2 1
9.9996837722339826e-01 1.1516880024396423e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.1100000000000000e+02 5.2405956735424308e-02 1.1431110191974565e-01 1.0574714094974824e-16 -7.3797812894324816e-03 5.9785738024855005e-02 -1.6112038743204722e-02 1.3042314066294619e-01 -1.4910985180249641e-17 1.2065812612999356e-16 3.6822754120901227e+03 1 2 2
9.9999822172058994e-01 1.1305282382970696e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.2100000000000000e+02 3.9312289472509435e-02 8.4333449879359271e-02 -1.7852879381965243e-16 -5.6411060298519151e-03 4.4953395502359210e-02 -1.2113479861004743e-02 9.6446929740359316e-02 2.5644751340303047e-17 -2.0417354515994589e-16 8.0511987287206575e+03 1 2 3
9.9999990000000005e-01 1.1253414882873409e+00 1.0000000000000001e-01 1.0000000000000000e+00 8.9500000000000000e+02 3.5138853691952111e-02 7.5030461992986963e-02 2.3407178656643874e-17 -5.0599107996943593e-03 4.0198764491642745e-02 -1.0815175674759366e-02 8.5845637667738658e-02 -3.3705776834222366e-18 2.6777756340064137e-17 1.0030706953462213e+04 1 2 4
9.9999999437658671e-01 1.1241004257802862e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.0500000000000000e+02 3.4045620077733117e-02 7.2608977361883043e-02 5.6930080509730861e-17 -4.9059025480097888e-03 3.8951522625739581e-02 -1.0473469566193310e-02 8.3082446928068501e-02 -8.2129804550053635e-18 6.5143060964731528e-17 1.2349639857884496e+04 1 2 5
9.9999999968377229e-01 1.1238054744485346e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.1500000000000000e+02 3.3779242153893323e-02 7.2019843139072809e-02 -6.4957091125434789e-17 -4.8682662420455498e-03 3.8647508395935164e-02 -1.0390097271091612e-02 8.2409940410158089e-02 9.3733807096912256e-18 -7.4330471835118662e-17 1.3391978463131003e+04 1 2 6
9.9999999998221722e-01 1.1237354936337107e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.2500000000000000e+02 3.3715655469007025e-02 7.1879261602487893e-02 -8.8276034070559632e-17 -4.8592829246493678e-03 3.8574938393653987e-02 -1.0370204839742716e-02 8.2249466442225722e-02 1.2736910662571744e-17 -1.0101294473312403e-16 1.3773113793911412e+04 1 2 7
9.9999999999900002e-01 1.1237188967852061e+00 1.0000000000000001e-01 1.0000000000000000e+00 9.3500000000000000e+02 3.3700554609789289e-02 7.1845878510824343e-02 6.2825021796452736e-17 -4.8571442130611216e-03 3.8557698822846896e-02 -1.0365469378795003e-02 8.2211347889611361e-02 -9.0617949949372247e-18 7.1886816791384320e-17 1.2973625232217833e+04 1 2 8
9.8999999999999999e-01 1.5772983821063158e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.9000000000000000e+02 8.6263578742393363e-02 2.4258178565086577e-01 -3.4593733282936875e-16 -7.8354678915279283e-03 9.4099046633921365e-02 -2.1996252506542902e-02 2.6457803815740377e-01 3.1380039477741365e-17 -3.7731737230710997e-16 5.8126617346331477e+02 1 3 0
9.9943765867480960e-01 1.2750244526615964e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.9100000000000000e+02 7.7529110466272186e-02 1.8041330505511391e-01 -4.4628777112283021e-16 -9.6817815156666175e-03 8.7210891981937058e-02 -2.2547579027699896e-02 2.0296088408281016e-01 5.5779244623423890e-17 -5.0206701574625486e-16 2.0535782962972298e+03 1 3 1
9.9996837722339826e-01 1.1986347510077622e+00 1.5000000000000002e-01 1.0000000000000000e+00 1.0010000000000000e+03 5.1636933709702133e-02 1.1392584331961321e-01 -8.7355559157073294e-17 -6.9620823598739836e-03 5.8599016069574864e-02 -1.5382145549217869e-02 1.2930798886882314e-01 1.1792460121180084e-17 -9.9148019278251750e-17 4.9052609264804050e+03 1 3 2
9.9999822172058994e-01 1.1796943978542305e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.7500000000000000e+02 3.9457365079391321e-02 8.5731876587517880e-02 -5.8622612584556363e-17 -5.4044853835251714e-03 4.4861850462913432e-02 -1.1761080503067393e-02 9.7492957090580507e-02 8.0458642515640822e-18 -6.6668476836115059e-17 9.6921608181875199e+03 1 3 3
9.9999990000000005e-01 1.1751363599628784e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8500000000000000e+02 3.5666906123855306e-02 7.7157107094299585e-02 4.4770345210138479e-17 -4.8991380160283062e-03 4.0566044139879166e-02 -1.0615114009501348e-02 8.7772221103789197e-02 -6.1646336901690145e-18 5.0934978900301773e-17 1.3667780880759470e+04 1 3 4
9.9999999437658671e-01 1.1740513465154911e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.9500000000000000e+02 3.4683530329418670e-02 7.4944249226826312e-02 -1.2418805426622060e-16 -4.7667971902399641e-03 3.9450327519653737e-02 -1.0316711613218331e-02 8.5260960840033928e-02 1.7093832678842114e-17 -1.4128188694504094e-16 1.5556433204098605e+04 1 3 5
9.9999999968377229e-01 1.1737938111466142e+00 1.5000000000000002e-01 1.0000000000000000e+00 1.0050000000000000e+03 3.4444630876212030e-02 7.4407319266424493e-02 -1.3982219493505076e-16 -4.7345632414820564e-03 3.9179194117689671e-02 -1.0244133472925488e-02 8.4651452739337094e-02 1.9248520782808219e-17 -1.5907071571783639e-16 1.5584240597413853e+04 1 3 6
9.9999999998221722e-01 1.1737327263415920e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.7900000000000000e+02 3.4387632031781322e-02 7.4279250562241536e-02 5.8337639212076652e-17 -4.7268722285525042e-03 3.9114504260328642e-02 -1.0226822082687421e-02 8.4506072644917024e-02 -8.0336661994351782e-18 6.6371305411501359e-17 1.6492259692328982e+04 1 3 7
9.9999999999900002e-01 1.1737182404095907e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8900000000000000e+02 3.4374102408606347e-02 7.4248855778666759e-02 -4.0605699683990123e-17 -4.7250477046645936e-03 3.9099150113266271e-02 -1.0222713497626681e-02 8.4471569276282521e-02 5.5889681105190349e-18 -4.6194667794503903e-17 1.5915118413741700e+04 1 3 8
9.8999999999999999e-01 1.6187039675174233e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0530000000000000e+03 8.6167050279169807e-02 2.4130256248601731e-01 -4.7840053563567087e-16 -7.6477145401061437e-03 9.3814764819275212e-02 -2.1352015428183543e-02 2.6265457791419733e-01 4.2316597040130570e-17 -5.2071713267579285e-16 5.8864299627579749e+02 1 4 0
9.9943765867480960e-01 1.3198099438213424e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0540000000000000e+03 7.6167854910572735e-02 1.7802508642786918e-01 2.5408972114732552e-16 -9.1517513042242548e-03 8.5319606214796742e-02 -2.1403071538675954e-02 1.9942815796654118e-01 -3.0546716386642774e-17 2.8463643753396611e-16 1.9540482839168981e+03 1 4 1
9.9996837722339826e-01 1.2469145587839414e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0550000000000000e+03 5.0827501227674460e-02 1.1303811048129227e-01 -2.0079602066632466e-16 -6.5483192217368888e-03 5.7375820449411037e-02 -1.4585611448466308e-02 1.2762372192975308e-01 2.5909250653317719e-17 -2.2670527131963261e-16 5.7168551812572405e+03 1 4 2
9.9999822172058994e-01 1.2292466153494126e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0650000000000000e+03 3.9265335608611771e-02 8.6067450814096683e-02 1.1466487867752381e-16 -5.1291092154356075e-03 4.4394444824042784e-02 -1.1262518070593617e-02 9.7329968884681053e-02 -1.5004688252675101e-17 1.2966956693018605e-16 1.2748589868540876e+04 1 4 3
9.9999990000000005e-01 1.2250276739431687e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0750000000000000e+03 3.5714022983861338e-02 7.7951331266384927e-02 6.7786229910743619e-17 -4.6767031726597415e-03 4.0390726156515802e-02 -1.0226270519436401e-02 8.8177601785808482e-02 -8.8889380086840294e-18 7.6675167919416318e-17 1.6820401088572107e+04 1 4 4
9.9999999437658671e-01 1.2240254285296919e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0850000000000000e+03 3.4797563227390423e-02 7.5866564537295789e-02 1.0107456809821457e-16 -4.5588188886289049e-03 3.9356382116013500e-02 -9.9575530624484206e-03 8.5824117599731992e-02 -1.3266125614629329e-17 1.1434069371282939e-16 2.0161507229644805e+04 1 4 5
9.9999999968377229e-01 1.2237876568573285e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0590000000000000e+03 3.4575131070520730e-02 7.5361074717325074e-02 -5.0200560186999248e-17 -4.5302590519936160e-03 3.9105390122508563e-02 -9.8925629545932332e-03 8.5253637671904275e-02 6.5897706988462547e-18 -5.6790330885838149e-17 1.9262613438427448e+04 1 4 6
9.9999999998221722e-01 1.2237312666766640e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0690000000000000e+03 3.4522118615332366e-02 7.5240623887976588e-02 9.8864773405821290e-17 -4.5234261153353659e-03 3.9045544730660783e-02 -9.8770249531444174e-03 8.5117648841107160e-02 -1.2974505247153314e-17 1.1183927865296120e-16 1.9513633042416535e+04 1 4 7
9.9999999999900002e-01 1.2237178940800983e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0790000000000000e+03 3.4509547233397789e-02 7.5212081032673447e-02 -9.8827501655607874e-17 -4.5217768948852986e-03 3.9031324128276541e-02 -9.8732544573082691e-03 8.5085335489968675e-02 1.2969586754855084e-17 -1.1179708841044926e-16 2.2004128177230246e+04 1 4 8
9.8999999999999999e-01 1.6627823949698188e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1340000000000000e+03 8.6287297959061676e-02 2.4020338705574323e-01 4.4584655842894087e-16 -7.4646792250438821e-03 9.3751977184104426e-02 -2.0687270911344913e-02 2.6089065796708405e-01 -3.8405466921309908e-17 4.8425202535024543e-16 6.5982127877976745e+02 1 5 0
9.9943765867480960e-01 1.3664337823830426e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1350000000000000e+03 7.5099561774371076e-02 1.7590615782987951e-01 -2.2293786337379452e-16 -8.6681731283241199e-03 8.3767734902694249e-02 -2.0303747634489066e-02 1.9620990546436448e-01 2.5732234798793562e-17 -2.4867009817258482e-16 2.1824741128915921e+03 1 5 1
9.9996837722339826e-01 1.2958691826424928e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1450000000000000e+03 5.0172438767957184e-02 1.1213985967549975e-01 9.3697708306187032e-17 -6.1748726093281666e-03 5.6347311377283715e-02 -1.3818144493375307e-02 1.2595800416886849e-01 -1.1553980863967937e-17 1.0525168917015282e-16 6.1643124574711546e+03 1 5 2
9.9999822172058994e-01 1.2789805809700538e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1550000000000000e+03 3.9032529786528741e-02 8.6035022349812154e-02 -1.8749675100173833e-16 -4.8643149274711067e-03 4.3896844713995846e-02 -1.0737922553196890e-02 9.6772944902997357e-02 2.3394761713527567e-17 -2.1089151271524443e-16 1.5800178936461918e+04 1 5 3
9.9999990000000005e-01 1.2749634881792580e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1650000000000000e+03 3.5637076100203842e-02 7.8225415699011910e-02 -7.2565107210486502e-17 -4.4510016101752224e-03 4.0088077710372434e-02 -9.7857545305136545e-03 8.8011170229511757e-02 9.0839604155196011e-18 -8.1649067625995003e-17 2.1532894978888333e+04 1 5 4
9.9999999437658671e-01 1.2740101447288064e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1390000000000000e+03 3.4763279271097826e-02 7.6223934108449687e-02 -1.1075679473294027e-16 -4.3438466868605200e-03 3.9107125957951641e-02 -9.5401050373428616e-03 8.5764039145776585e-02 1.3863774256282819e-17 -1.2462056898920335e-16 2.4784865633443929e+04 1 5 5
9.9999999968377229e-01 1.2737840289273601e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1490000000000000e+03 3.4551543226444451e-02 7.5739437677777230e-02 -6.1071716286231517e-17 -4.3177549532474576e-03 3.8869298179685548e-02 -9.4803094673305919e-03 8.5219747145091548e-02 7.6490552729315389e-18 -6.8720771559151477e-17 2.6733812052260153e+04 1 5 6
9.9999999998221722e-01 1.2737304060249957e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1590000000000000e+03 3.4501057762706525e-02 7.5623897807159043e-02 -1.3286469706120507e-16 -4.3115288194194110e-03 3.8812586582118981e-02 -9.4660828061890918e-03 8.5089980613332200e-02 1.6627951744876796e-17 -1.4949264880605451e-16 2.5285345950254239e+04 1 5 7
9.9999999999900002e-01 1.2737176896829616e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1420000000000000e+03 3.4489113103033008e-02 7.5596585439388547e-02 -1.6020001798252266e-16 -4.3100101803754017e-03 3.8799123283400579e-02 -9.4625908403016112e-03 8.5059176279673368e-02 2.0054157939295940e-17 -1.8025417592179147e-16 2.7365999825326726e+04 1 5 8
9.8999999999999999e-01 1.7089489724385734e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2150000000000000e+03 8.6567844015861845e-02 2.3924722464474851e-01 1.5937066642695877e-16 -7.2849176738185297e-03 9.3852761689680334e-02 -2.0016691353730263e-02 2.5926391599847415e-01 -1.3333794970636076e-17 1.7270446139759576e-16 7.6490842161700130e+02 1 6 0
9.9943765867480960e-01 1.4142505979278854e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2700000000000000e+03 7.4344735739285545e-02 1.7417320470413516e-01 3.7542515331839349e-16 -8.2377131028749575e-03 8.2582448842159747e-02 -1.9282799023318292e-02 1.9345600372745045e-01 -4.1569690933506296e-17 4.1699484425189679e-16 2.7160046766605228e+03 1 6 1
9.9996837722339826e-01 1.3452150624285313e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2260000000000000e+03 4.9713163134009954e-02 1.1139571298993167e-01 1.2101634766009682e-16 -5.8474416872160333e-03 5.5560604821224949e-02 -1.3109680465155881e-02 1.2450539345508234e-01 -1.4240521036835282e-17 1.3525686869692440e-16 7.8293355526756495e+03 1 6 2
9.9999822172058994e-01 1.3288160065281953e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2360000000000000e+03 3.8857610655461498e-02 8.5907705801741008e-02 -1.9075342594763402e-17 -4.6250705858936671e-03 4.3482681241349644e-02 -1.0233926385346382e-02 9.6141632187074458e-02 2.2723881410660912e-18 -2.1347730735826622e-17 1.9457692460150458e+04 1 6 3
9.9999990000000005e-01 1.3249238994910766e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2460000000000000e+03 3.5563120476320709e-02 7.8305478747083226e-02 -1.0272974353143457e-16 -4.2413980622681528e-03 3.9804518538580712e-02 -9.3481686366393979e-03 8.7653647383706540e-02 1.2262111172608915e-17 -1.1499185470402524e-16 2.4905579663974233e+04 1 6 4
9.9999999437658671e-01 1.3240007247397294e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2200000000000000e+03 3.4716762626919848e-02 7.6359938616337303e-02 -9.2485231852587780e-17 -4.1420279135379011e-03 3.8858790540449308e-02 -9.1197418402084278e-03 8.5479680456527943e-02 1.1044662321287345e-17 -1.0352989417385754e-16 2.9320625927076675e+04 1 6 5
9.9999999968377229e-01 1.3237817932763043e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2300000000000000e+03 3.4511571534749909e-02 7.5888525253282282e-02 -1.3328067979100631e-16 -4.1180049776276574e-03 3.8629576512369493e-02 -9.0646816868331405e-03 8.4953206940097656e-02 1.5918107224141526e-17 -1.4919878701512012e-16 2.9881411114582792e+04 1 6 6
9.9999999998221722e-01 1.3237298757080189e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2400000000000000e+03 3.4462713779737641e-02 7.5776307171898594e-02 6.1310588089364956e-18 -4.1122267440629632e-03 3.8574940523792303e-02 -9.0514361946288629e-03 8.4827743366508779e-02 -7.2947071440238749e-19 6.8605295233383221e-18 3.2587898740145378e+04 1 6 7
9.9999999999900002e-01 1.3237175637359755e+00 3.0000000000000004e-01 1.0000000000000000e+00 1.2500000000000000e+03 3.4451112475025608e-02 7.5749624361991563e-02 -6.5758753561523304e-17 -4.1108489811799830e-03 3.8561961456197238e-02 -9.0483033610087079e-03 8.4797927722981517e-02 7.8529645109761961e-18 -7.3611718072483435e-17 3.4473938034743071e+04 1 6 8
9.8999999999999999e-01 1.7567649394562446e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3320000000000000e+03 8.6945706478894200e-02 2.3836079905829158e-01 -5.4358237393157686e-16 -7.1041106422518163e-03 9.4049817121145129e-02 -1.9343685108356996e-02 2.5770448416664532e-01 4.4091911212668452e-17 -5.8767428514424397e-16 7.4352800972759724e+02 1 7 0
9.9943765867480960e-01 1.4628826994767730e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3330000000000000e+03 7.3875249781047134e-02 1.7283249782219853e-01 2.7946994413692641e-16 -7.8574221729089191e-03 8.1732671953954991e-02 -1.8349996370091173e-02 1.9118249419228500e-01 -2.9681200772573937e-17 3.0915114490949872e-16 2.8870093570416793e+03 1 7 1
9.9996837722339826e-01 1.3948092711987428e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3250000000000000e+03 4.9443524286604666e-02 1.1085663074431597e-01 1.5300626295025306e-16 -5.5653420609016995e-03 5.5008866347503745e-02 -1.2473124866648429e-02 1.2332975561095981e-01 -1.7213703948821546e-17 1.7021996689906545e-16 8.1234168334743008e+03 1 7 2
9.9999822172058994e-01 1.3787143803844761e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.2990000000000000e+03 3.8769142461798932e-02 8.5799649115487708e-02 -3.9937089729236839e-17 -4.4136856823259818e-03 4.3182828144117821e-02 -9.7673581358044253e-03 9.5567007251273997e-02 4.5462973480875170e-18 -4.4483387077317201e-17 2.0885577874514274e+04 1 7 3
9.9999990000000005e-01 1.3748994834580226e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3090000000000000e+03 3.5536841647680811e-02 7.8334549110113061e-02 1.5493164000096432e-16 -4.0526670114241180e-03 3.9589508659095919e-02 -8.9348582710240560e-03 8.7269407381116201e-02 -1.7671242289695029e-17 1.7260288229062400e-16 2.9212996800306253e+04 1 7 4
9.9999999437658671e-01 1.3739949167944756e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3190000000000000e+03 3.4707417853119399e-02 7.6425749369576482e-02 -9.4112957064031213e-17 -3.9611513364124747e-03 3.8668569189523397e-02 -8.7242637077652643e-03 8.5150013077318981e-02 1.0743501845973545e-17 -1.0485645890998467e-16 3.4552747830227949e+04 1 7 5
9.9999999968377229e-01 1.3737804149885997e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3290000000000000e+03 3.4508570493238244e-02 7.5968176447307120e-02 1.5335835345777226e-16 -3.9383061851457277e-03 3.8446876678374368e-02 -8.6717097981974123e-03 8.4639886245482604e-02 -1.7506104479743600e-17 1.7086445793748137e-16 3.6476279785742052e+04 1 7 6
9.9999999998221722e-01 1.3737295489410677e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3030000000000000e+03 3.4460755877762900e-02 7.5858200739809006e-02 5.8183537565080255e-17 -3.9329589764176415e-03 3.8393714854170549e-02 -8.6594627404010145e-03 8.4517663480188895e-02 -6.6416532712717483e-18 6.4825190836332855e-17 3.4310115619159304e+04 1 7 7
9.9999999999900002e-01 1.3737174864253645e+00 3.5000000000000003e-01 1.0000000000000000e+00 1.3040000000000000e+03 3.4449444491499802e-02 7.5832199256402860e-02 -1.2397672422291424e-16 -3.9316865690309710e-03 3.8381131060521774e-02 -8.6565319831111744e-03 8.4488731239492298e-02 1.4151846717992915e-17 -1.3812857094087058e-16 3.4575047975450754e+04 1 7 8
9.8999999999999999e-01 1.8058989726605508e+00 4.0000000000000002e-01 1.0000000000000000e+00 1.3860000000000000e+03 8.7344064849011499e-02 2.3742207202306564e-01 -1.2483085873763238e-16 -6.9130252565453524e-03 9.4257090105556496e-02 -1.8656196434519934e-02 2.5607826845758408e-01 9.8200154953398453e-18 -1.3465087423297007e-16 9.8280046592559665e+02 1 8 0
