# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.8999999999999999e-01 1.4782116751162881e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5600000000000000e+02 8.9075662572639464e-02 2.4827483183254995e-01 0.0000000000000000e+00 -8.4396520179235695e-03 9.7515314590562951e-02 -2.3523296094109847e-02 2.7179812792666014e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 0
9.9943765867480960e-01 1.1703051822331749e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3000000000000000e+02 7.9212676992113179e-02 1.7945484211104720e-01 0.0000000000000000e+00 -1.0658518395734904e-02 8.9871195387848241e-02 -2.4146674604050303e-02 2.0360151671509755e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 1
9.9996837722339826e-01 1.0761466695695716e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.7600000000000000e+02 4.8721372193454453e-02 1.0311078974795765e-01 0.0000000000000000e+00 -7.2828705526460334e-03 5.6004242746100483e-02 -1.5413000506918451e-02 1.1852379025487597e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 2
9.9999822172058994e-01 1.0432708450441162e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3200000000000000e+02 3.1178634637989082e-02 6.4402638944131688e-02 0.0000000000000000e+00 -4.8170117094921599e-03 3.5995646347481203e-02 -9.9500273029302384e-03 7.4352666247061938e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 3
9.9999990000000005e-01 1.0311293962945765e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.4200000000000000e+02 2.3478429960600993e-02 4.8061649663665502e-02 0.0000000000000000e+00 -3.6635350394256831e-03 2.7141965000026639e-02 -7.4994596270241106e-03 5.5561109290689650e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 4
9.9999999437658671e-01 1.0265435573430977e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5200000000000000e+02 2.0375245578570643e-02 4.1567098057051270e-02 0.0000000000000000e+00 -3.1895024470948697e-03 2.3564748025665536e-02 -6.5068349954532376e-03 4.8073933052504507e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 5
9.9999999968377229e-01 1.0247962444980552e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.6200000000000000e+02 1.9162962181745482e-02 3.9043078915633841e-02 0.0000000000000000e+00 -3.0031852909206667e-03 2.2166147472666153e-02 -6.1187617655156278e-03 4.5161840681149451e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 6
9.9999999998221722e-01 1.0241282231884490e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3600000000000000e+02 1.8694999809514740e-02 3.8070680428153099e-02 0.0000000000000000e+00 -2.9311189936465391e-03 2.1626118803161284e-02 -5.9689593817066440e-03 4.4039639809859685e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 7
9.9999999999900002e-01 1.0238724878578676e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5500000000000000e+02 1.8515186199960530e-02 3.7697319029016345e-02 0.0000000000000000e+00 -2.9034080016478946e-03 2.1418594201608406e-02 -5.9114014046346801e-03 4.3608720433650973e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 8
9.8999999999999999e-01 1.5058746787877642e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3700000000000000e+02 8.7417979203119930e-02 2.4579049890264662e-01 -5.8232071966503522e-17 -8.2176267683293520e-03 9.5635605971449419e-02 -2.3101326255325759e-02 2.6889182515797083e-01 5.4740390675851833e-18 -6.3706111034088303e-17 3.3286922054830939e+02 1 1 0
9.9943765867480960e-01 1.1968097589805746e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.1100000000000000e+02 8.0119944396603193e-02 1.8355374665438373e-01 -3.5420058738333838e-16 -1.0645309833355598e-02 9.0765254229957987e-02 -2.4393330108184539e-02 2.0794707676256685e-01 4.7072872618021080e-17 -4.0127346000135593e-16 1.0677012605536729e+03 1 1 1
9.9996837722339826e-01 1.1080299249763090e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.2100000000000000e+02 5.2407135820211018e-02 1.1263610693065079e-01 1.5996136462390230e-16 -7.6645962350940788e-03 6.0071732055304576e-02 -1.6478178924970555e-02 1.2911428585562040e-01 -2.3400100375190156e-17 1.8336146499909155e-16 2.7672243328811601e+03 1 1 2
9.9999822172058994e-01 1.0825014508785353e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3100000000000000e+02 3.7842969112223873e-02 7.9770179199329147e-02 5.2230730101655308e-17 -5.6702088591762045e-03 4.3513177971399343e-02 -1.1956342974632829e-02 9.1726522173959379e-02 -7.8277614762572485e-18 6.0058491577912058e-17 4.8905175965484232e+03 1 1 3
9.9999990000000005e-01 1.0758481982871733e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.4100000000000000e+02 3.2943594644531116e-02 6.9066755059054963e-02 1.1396024441621247e-16 -4.9607774857948622e-03 3.7904372130324306e-02 -1.0403858790356291e-02 7.9470613849406943e-02 -1.7165265919665376e-17 1.3112551033587757e-16 6.7905354469241574e+03 1 1 4
